                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                  75.0600             6.393354E+02             1.592729E+04
                  75.2400             6.396707E+02             1.561583E+04
                  75.4200             6.399994E+02             1.530450E+04
                  75.6000             6.403215E+02             1.499331E+04
                  75.7800             6.406370E+02             1.468225E+04
                  75.9600             6.409459E+02             1.437134E+04
                  76.1400             6.412481E+02             1.406056E+04
                  76.3200             6.415438E+02             1.374994E+04
                  76.5000             6.418328E+02             1.343946E+04
                  76.6800             6.421153E+02             1.312914E+04
                  76.8600             6.423911E+02             1.281898E+04
                  77.0400             6.426604E+02             1.250897E+04
                  77.2200             6.429230E+02             1.219913E+04
                  77.4000             6.431791E+02             1.188945E+04
                  77.5800             6.434286E+02             1.157995E+04
                  77.7600             6.436715E+02             1.127061E+04
                  77.9400             6.439079E+02             1.096145E+04
                  78.1200             6.441376E+02             1.065247E+04
                  78.3000             6.443608E+02             1.034366E+04
                  78.4800             6.445775E+02             1.003505E+04
                  78.6600             6.447876E+02             9.726616E+03
                  78.8400             6.449911E+02             9.418376E+03
                  79.0200             6.451881E+02             9.110328E+03
                  79.2000             6.453785E+02             8.802476E+03
                  79.3800             6.455624E+02             8.494823E+03
                  79.5600             6.457397E+02             8.187372E+03
                  79.7400             6.459105E+02             7.880126E+03
                  79.9200             6.460748E+02             7.573087E+03
                  80.1000             6.462326E+02             7.266259E+03
                  80.2800             6.463838E+02             6.959644E+03
                  80.4600             6.465285E+02             6.653245E+03
                  80.6400             6.466667E+02             6.347065E+03
                  80.8200             6.467984E+02             6.041106E+03
                  81.0000             6.469236E+02             5.735373E+03
                  81.1800             6.470423E+02             5.429867E+03
                  81.3600             6.471545E+02             5.124591E+03
                  81.5400             6.472602E+02             4.819548E+03
                  81.7200             6.473594E+02             4.514741E+03
                  81.9000             6.474522E+02             4.210172E+03
                  82.0800             6.475385E+02             3.905844E+03
                  82.2600             6.476183E+02             3.601761E+03
                  82.4400             6.476916E+02             3.297924E+03
                  82.6200             6.477585E+02             2.994336E+03
                  82.8000             6.478190E+02             2.691000E+03
                  82.9800             6.478729E+02             2.387919E+03
                  83.1600             6.479205E+02             2.085096E+03
                  83.3400             6.479616E+02             1.782532E+03
                  83.5200             6.479963E+02             1.480231E+03
                  83.7000             6.480246E+02             1.178195E+03
                  83.8800             6.480464E+02             8.764265E+02
                  84.0600             6.480618E+02             5.749286E+02
                  84.2400             6.480708E+02             2.737037E+02
                  84.4200             6.480735E+02            -2.724566E+01
                  84.6000             6.480697E+02            -3.279170E+02
                  84.7800             6.480595E+02            -6.283078E+02
                  84.9600             6.480430E+02            -9.284154E+02
                  85.1400             6.480200E+02            -1.228237E+03
                  85.3200             6.479907E+02            -1.527771E+03
                  85.5000             6.479551E+02            -1.827015E+03
                  85.6800             6.479131E+02            -2.125965E+03
                  85.8600             6.478647E+02            -2.424620E+03
                  86.0400             6.478100E+02            -2.722977E+03
                  86.2200             6.477489E+02            -3.021033E+03
                  86.4000             6.476815E+02            -3.318787E+03
                  86.5800             6.476078E+02            -3.616235E+03
                  86.7600             6.475277E+02            -3.913376E+03
                  86.9400             6.474414E+02            -4.210207E+03
                  87.1200             6.473487E+02            -4.506725E+03
                  87.3000             6.472497E+02            -4.802929E+03
                  87.4800             6.471445E+02            -5.098815E+03
                  87.6600             6.470329E+02            -5.394383E+03
                  87.8400             6.469151E+02            -5.689628E+03
                  88.0200             6.467910E+02            -5.984550E+03
                  88.2000             6.466606E+02            -6.279145E+03
                  88.3800             6.465240E+02            -6.573412E+03
                  88.5600             6.463811E+02            -6.867347E+03
                  88.7400             6.462320E+02            -7.160950E+03
                  88.9200             6.460766E+02            -7.454217E+03
                  89.1000             6.459150E+02            -7.747147E+03
                  89.2800             6.457472E+02            -8.039737E+03
                  89.4600             6.455731E+02            -8.331985E+03
                  89.6400             6.453929E+02            -8.623888E+03
                  89.8200             6.452064E+02            -8.915445E+03
                  90.0000             6.450137E+02            -9.206654E+03
                  90.1800             6.448149E+02            -9.497512E+03
                  90.3600             6.446099E+02            -9.788017E+03
                  90.5400             6.443987E+02            -1.007817E+04
                  90.7200             6.441813E+02            -1.036796E+04
                  90.9000             6.439578E+02            -1.065739E+04
                  91.0800             6.437282E+02            -1.094647E+04
                  91.2600             6.434923E+02            -1.123517E+04
                  91.4400             6.432504E+02            -1.152352E+04
                  91.6200             6.430023E+02            -1.181149E+04
                  91.8000             6.427481E+02            -1.209910E+04
                  91.9800             6.424878E+02            -1.238633E+04
                  92.1600             6.422214E+02            -1.267319E+04
                  92.3400             6.419489E+02            -1.295968E+04
                  92.5200             6.416704E+02            -1.324578E+04
                  92.7000             6.413857E+02            -1.353151E+04
                  92.8800             6.410950E+02            -1.381686E+04
                  93.0600             6.407982E+02            -1.410182E+04
                  93.2400             6.404953E+02            -1.438639E+04
                  93.4200             6.401864E+02            -1.467058E+04
                  93.6000             6.398715E+02            -1.495438E+04
                  93.7800             6.395505E+02            -1.523779E+04
                  93.9600             6.392235E+02            -1.552080E+04
                  94.1400             6.388905E+02            -1.580342E+04
                  94.3200             6.385515E+02            -1.608564E+04
                  94.5000             6.382065E+02            -1.636747E+04
                  94.6800             6.378555E+02            -1.664889E+04
                  94.8600             6.374986E+02            -1.692990E+04
                  95.0400             6.371356E+02            -1.721052E+04
                  95.2200             6.367667E+02            -1.749073E+04
                  95.4000             6.363919E+02            -1.777052E+04
                  95.5800             6.360111E+02            -1.804991E+04
                  95.7600             6.356243E+02            -1.832889E+04
