                   Degree              dlvdt[mm/s]            dlvdtt[mm/s2]
                  60.1200             6.829455E+02             5.645066E+04
                  60.3000             6.839756E+02             5.603320E+04
                  60.4800             6.849980E+02             5.561549E+04
                  60.6600             6.860128E+02             5.519755E+04
                  60.8400             6.870199E+02             5.477936E+04
                  61.0200             6.880194E+02             5.436095E+04
                  61.2000             6.890111E+02             5.394231E+04
                  61.3800             6.899953E+02             5.352346E+04
                  61.5600             6.909717E+02             5.310439E+04
                  61.7400             6.919405E+02             5.268511E+04
                  61.9200             6.929016E+02             5.226564E+04
                  62.1000             6.938550E+02             5.184597E+04
                  62.2800             6.948007E+02             5.142611E+04
                  62.4600             6.957387E+02             5.100606E+04
                  62.6400             6.966690E+02             5.058584E+04
                  62.8200             6.975917E+02             5.016544E+04
                  63.0000             6.985066E+02             4.974488E+04
                  63.1800             6.994138E+02             4.932416E+04
                  63.3600             7.003133E+02             4.890328E+04
                  63.5400             7.012052E+02             4.848224E+04
                  63.7200             7.020893E+02             4.806107E+04
                  63.9000             7.029656E+02             4.763975E+04
                  64.0800             7.038343E+02             4.721831E+04
                  64.2600             7.046952E+02             4.679673E+04
                  64.4400             7.055485E+02             4.637503E+04
                  64.6200             7.063940E+02             4.595321E+04
                  64.8000             7.072317E+02             4.553128E+04
                  64.9800             7.080618E+02             4.510925E+04
                  65.1600             7.088841E+02             4.468711E+04
                  65.3400             7.096987E+02             4.426488E+04
                  65.5200             7.105055E+02             4.384256E+04
                  65.7000             7.113046E+02             4.342015E+04
                  65.8800             7.120960E+02             4.299766E+04
                  66.0600             7.128796E+02             4.257510E+04
                  66.2400             7.136555E+02             4.215247E+04
                  66.4200             7.144237E+02             4.172977E+04
                  66.6000             7.151841E+02             4.130702E+04
                  66.7800             7.159367E+02             4.088421E+04
                  66.9600             7.166817E+02             4.046135E+04
                  67.1400             7.174188E+02             4.003846E+04
                  67.3200             7.181483E+02             3.961552E+04
                  67.5000             7.188700E+02             3.919255E+04
