                   Degree              Press.Ratio   Mass_leak_rad_ro[kg/s]      Mass_leak_vef[kg/s]       Mass_leak_vs[kg/s]      Mass_leak_ref[kg/s]    Mass_leak_total[kg/s]
                  26.6400             1.019250E+00             4.939678E-08             9.408682E-06             0.000000E+00            -1.018145E-06             8.439934E-06
                  26.8200             1.018782E+00             4.931892E-08             9.399010E-06             0.000000E+00            -1.047052E-06             8.401277E-06
                  27.0000             1.018325E+00             4.924270E-08             9.392531E-06             0.000000E+00            -1.075756E-06             8.366018E-06
                  27.1800             1.017878E+00             4.916810E-08             9.386309E-06             0.000000E+00            -1.104250E-06             8.331227E-06
                  27.3600             1.017442E+00             4.909512E-08             9.377397E-06             0.000000E+00            -1.132532E-06             8.293961E-06
                  27.5400             1.017017E+00             4.859311E-08             9.371688E-06             0.000000E+00            -1.160596E-06             8.259685E-06
                  27.7200             1.016602E+00             4.852202E-08             9.366235E-06             0.000000E+00            -1.188441E-06             8.226317E-06
                  27.9000             1.016197E+00             4.845253E-08             9.361041E-06             0.000000E+00            -1.216062E-06             8.193431E-06
                  28.0800             1.015801E+00             4.838461E-08             9.356102E-06             0.000000E+00            -1.243458E-06             8.161029E-06
                  28.2600             1.015416E+00             4.831823E-08             9.351420E-06             0.000000E+00            -1.270626E-06             8.129113E-06
                  28.4400             1.015040E+00             4.825340E-08             9.346993E-06             0.000000E+00            -1.297564E-06             8.097682E-06
                  28.6200             1.014673E+00             4.819006E-08             9.345789E-06             0.000000E+00            -1.324272E-06             8.069707E-06
                  28.8000             1.014316E+00             4.770039E-08             9.341870E-06             0.000000E+00            -1.350747E-06             8.038823E-06
                  28.9800             1.013968E+00             4.763892E-08             9.338202E-06             0.000000E+00            -1.376990E-06             8.008851E-06
                  29.1600             1.013628E+00             4.757891E-08             9.337764E-06             0.000000E+00            -1.403000E-06             7.982343E-06
                  29.3400             1.013297E+00             4.752035E-08             9.334595E-06             0.000000E+00            -1.428776E-06             7.953339E-06
                  29.5200             1.012975E+00             4.746320E-08             9.334660E-06             0.000000E+00            -1.454320E-06             7.927803E-06
                  29.7000             1.012661E+00             4.740744E-08             9.331982E-06             0.000000E+00            -1.479630E-06             7.899759E-06
