                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  27.9000            -1.030226E+02            -6.286861E+01            -9.150188E+01             5.110085E+00             9.809402E+01             2.969889E+01             1.024913E+02
                  28.0800            -1.035811E+02            -6.295123E+01            -9.204200E+01             5.088581E+00             9.862628E+01             2.971540E+01             1.030056E+02
                  28.2600            -1.041381E+02            -6.303390E+01            -9.258090E+01             5.066565E+00             9.915681E+01             2.973186E+01             1.035184E+02
                  28.4400            -1.046934E+02            -6.311662E+01            -9.311856E+01             5.044036E+00             9.968559E+01             2.974827E+01             1.040297E+02
                  28.6200            -1.052470E+02            -6.319938E+01            -9.365499E+01             5.020993E+00             1.002126E+02             2.976465E+01             1.045395E+02
                  28.8000            -1.057990E+02            -6.328218E+01            -9.419017E+01             4.997436E+00             1.007379E+02             2.978098E+01             1.050478E+02
                  28.9800            -1.063494E+02            -6.336503E+01            -9.472411E+01             4.973365E+00             1.012614E+02             2.979727E+01             1.055545E+02
                  29.1600            -1.068980E+02            -6.344791E+01            -9.525678E+01             4.948779E+00             1.017831E+02             2.981353E+01             1.060597E+02
                  29.3400            -1.074450E+02            -6.353082E+01            -9.578820E+01             4.923678E+00             1.023031E+02             2.982975E+01             1.065633E+02
                  29.5200            -1.079903E+02            -6.361376E+01            -9.631834E+01             4.898062E+00             1.028213E+02             2.984594E+01             1.070654E+02
                  29.7000            -1.085339E+02            -6.369673E+01            -9.684721E+01             4.871931E+00             1.033376E+02             2.986209E+01             1.075658E+02
                  29.8800            -1.090758E+02            -6.377973E+01            -9.737480E+01             4.845284E+00             1.038522E+02             2.987821E+01             1.080647E+02
                  30.0600            -1.096160E+02            -6.386274E+01            -9.790111E+01             4.818122E+00             1.043649E+02             2.989431E+01             1.085620E+02
                  30.2400            -1.101544E+02            -6.394577E+01            -9.842612E+01             4.790445E+00             1.048759E+02             2.991037E+01             1.090577E+02
                  30.4200            -1.106911E+02            -6.402881E+01            -9.894983E+01             4.762251E+00             1.053850E+02             2.992640E+01             1.095518E+02
                  30.6000            -1.112261E+02            -6.411186E+01            -9.947223E+01             4.733543E+00             1.058923E+02             2.994240E+01             1.100442E+02
                  30.7800            -1.117594E+02            -6.419492E+01            -9.999333E+01             4.704318E+00             1.063977E+02             2.995837E+01             1.105350E+02
                  30.9600            -1.122908E+02            -6.427798E+01            -1.005131E+02             4.674578E+00             1.069013E+02             2.997431E+01             1.110241E+02
                  31.1400            -1.128205E+02            -6.436105E+01            -1.010316E+02             4.644323E+00             1.074031E+02             2.999022E+01             1.115116E+02
                  31.3200            -1.133485E+02            -6.444411E+01            -1.015487E+02             4.613553E+00             1.079030E+02             3.000611E+01             1.119974E+02
                  31.5000            -1.138746E+02            -6.452716E+01            -1.020645E+02             4.582268E+00             1.084010E+02             3.002196E+01             1.124816E+02
                  31.6800            -1.143990E+02            -6.461020E+01            -1.025789E+02             4.550468E+00             1.088972E+02             3.003778E+01             1.129640E+02
                  31.8600            -1.149215E+02            -6.469324E+01            -1.030920E+02             4.518153E+00             1.093915E+02             3.005358E+01             1.134448E+02
                  32.0400            -1.154423E+02            -6.477625E+01            -1.036038E+02             4.485324E+00             1.098839E+02             3.006934E+01             1.139238E+02
                  32.2200            -1.159612E+02            -6.485925E+01            -1.041142E+02             4.451981E+00             1.103744E+02             3.008508E+01             1.144012E+02
                  32.4000            -1.164783E+02            -6.494222E+01            -1.046232E+02             4.418124E+00             1.108630E+02             3.010078E+01             1.148768E+02
                  32.5800            -1.169936E+02            -6.502517E+01            -1.051309E+02             4.383754E+00             1.113498E+02             3.011645E+01             1.153507E+02
                  32.7600            -1.175070E+02            -6.510809E+01            -1.056372E+02             4.348870E+00             1.118346E+02             3.013209E+01             1.158228E+02
                  32.9400            -1.180186E+02            -6.519098E+01            -1.061421E+02             4.313474E+00             1.123175E+02             3.014769E+01             1.162932E+02
                  33.1200            -1.185284E+02            -6.527384E+01            -1.066457E+02             4.277566E+00             1.127986E+02             3.016327E+01             1.167619E+02
                  33.3000            -1.190362E+02            -6.535666E+01            -1.071478E+02             4.241145E+00             1.132776E+02             3.017881E+01             1.172288E+02
                  33.4800            -1.195422E+02            -6.543944E+01            -1.076485E+02             4.204212E+00             1.137548E+02             3.019431E+01             1.176939E+02
                  33.6600            -1.200464E+02            -6.552217E+01            -1.081479E+02             4.166769E+00             1.142300E+02             3.020978E+01             1.181572E+02
                  33.8400            -1.205486E+02            -6.560486E+01            -1.086458E+02             4.128815E+00             1.147033E+02             3.022522E+01             1.186188E+02
                  34.0200            -1.210490E+02            -6.568750E+01            -1.091424E+02             4.090350E+00             1.151747E+02             3.024062E+01             1.190786E+02
                  34.2000            -1.215475E+02            -6.577009E+01            -1.096375E+02             4.051375E+00             1.156441E+02             3.025599E+01             1.195366E+02
                  34.3800            -1.220440E+02            -6.585263E+01            -1.101312E+02             4.011891E+00             1.161116E+02             3.027132E+01             1.199927E+02
                  34.5600            -1.225387E+02            -6.593511E+01            -1.106234E+02             3.971899E+00             1.165771E+02             3.028661E+01             1.204471E+02
                  34.7400            -1.230314E+02            -6.601753E+01            -1.111143E+02             3.931397E+00             1.170407E+02             3.030187E+01             1.208996E+02
                  34.9200            -1.235222E+02            -6.609989E+01            -1.116037E+02             3.890388E+00             1.175022E+02             3.031709E+01             1.213503E+02
                  35.1000            -1.240111E+02            -6.618218E+01            -1.120916E+02             3.848872E+00             1.179619E+02             3.033227E+01             1.217992E+02
                  35.2800            -1.244981E+02            -6.626441E+01            -1.125781E+02             3.806849E+00             1.184195E+02             3.034742E+01             1.222462E+02
                  35.4600            -1.249831E+02            -6.634656E+01            -1.130632E+02             3.764320E+00             1.188752E+02             3.036252E+01             1.226914E+02
                  35.6400            -1.254661E+02            -6.642865E+01            -1.135468E+02             3.721285E+00             1.193289E+02             3.037759E+01             1.231348E+02
                  35.8200            -1.259472E+02            -6.651066E+01            -1.140290E+02             3.677745E+00             1.197806E+02             3.039262E+01             1.235763E+02
                  36.0000            -1.264263E+02            -6.659259E+01            -1.145096E+02             3.633701E+00             1.202303E+02             3.040761E+01             1.240159E+02
                  36.1800            -1.269035E+02            -6.667444E+01            -1.149889E+02             3.589153E+00             1.206780E+02             3.042256E+01             1.244536E+02
                  36.3600            -1.273787E+02            -6.675621E+01            -1.154666E+02             3.544102E+00             1.211237E+02             3.043747E+01             1.248895E+02
