                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                   9.5400             1.108184E+02             2.503522E+00             4.941467E-02             2.162604E-01             1.108678E+02             2.719783E+00             2.354303E-01             1.071736E-01             1.256458E-01             4.044912E-02             4.836184E-01             2.644042E-01             1.204118E+01             9.758253E+00             8.145547E+00             3.073242E+01
                   9.7200             1.104831E+02             2.554422E+00             4.944363E-02             2.206558E-01             1.105325E+02             2.775078E+00             2.356186E-01             1.089142E-01             1.256555E-01             4.039116E-02             4.843306E-01             2.798597E-01             1.203577E+01             9.783292E+00             8.145136E+00             3.073242E+01
                   9.9000             1.101106E+02             2.607595E+00             4.945358E-02             2.252475E-01             1.101601E+02             2.832842E+00             2.357514E-01             1.106565E-01             1.256654E-01             4.033218E-02             4.850551E-01             2.953545E-01             1.203027E+01             9.808773E+00             8.151882E+00             3.073242E+01
                  10.0800             1.097001E+02             2.662889E+00             4.944395E-02             2.300223E-01             1.097496E+02             2.892911E+00             2.358266E-01             1.124011E-01             1.256755E-01             4.027219E-02             4.857920E-01             3.108924E-01             1.202467E+01             9.834691E+00             8.151581E+00             3.073242E+01
                  10.2600             1.092507E+02             2.720172E+00             4.941428E-02             2.349689E-01             1.093001E+02             2.955141E+00             2.358418E-01             1.141483E-01             1.256857E-01             4.021119E-02             4.865415E-01             3.264772E-01             1.201898E+01             9.861045E+00             8.151288E+00             3.073242E+01
                  10.4400             1.087615E+02             2.779392E+00             4.936383E-02             2.400828E-01             1.088108E+02             3.019474E+00             2.357353E-01             1.158987E-01             1.256961E-01             4.014919E-02             4.873036E-01             3.421125E-01             1.201320E+01             9.887831E+00             8.151000E+00             3.073242E+01
                  10.6200             1.082319E+02             2.840372E+00             4.929222E-02             2.453486E-01             1.082812E+02             3.085720E+00             2.356245E-01             1.176527E-01             1.257067E-01             4.008619E-02             4.880784E-01             3.578020E-01             1.200734E+01             9.915044E+00             8.150720E+00             3.073242E+01
                  10.8000             1.076614E+02             2.903123E+00             4.919887E-02             2.507673E-01             1.077106E+02             3.153891E+00             2.353790E-01             1.194108E-01             1.257174E-01             4.002220E-02             4.888659E-01             3.735494E-01             1.200138E+01             9.942682E+00             8.150448E+00             3.073242E+01
                  10.9800             1.070495E+02             2.967410E+00             4.908385E-02             2.563187E-01             1.070986E+02             3.223729E+00             2.350754E-01             1.211732E-01             1.257283E-01             3.995721E-02             4.896663E-01             3.893581E-01             1.199533E+01             9.970739E+00             8.150183E+00             3.073242E+01
                  11.1600             1.063958E+02             3.033354E+00             4.894653E-02             2.620130E-01             1.064447E+02             3.295367E+00             2.347617E-01             1.229404E-01             1.257393E-01             3.989123E-02             4.904794E-01             4.052318E-01             1.198919E+01             9.999211E+00             8.149927E+00             3.073242E+01
                  11.3400             1.057001E+02             3.100805E+00             4.878693E-02             2.678375E-01             1.057488E+02             3.368643E+00             2.343182E-01             1.247129E-01             1.257505E-01             3.982427E-02             4.913053E-01             4.211739E-01             1.198296E+01             1.002809E+01             8.149680E+00             3.073242E+01
                  11.5200             1.049622E+02             3.169719E+00             4.860471E-02             2.737883E-01             1.050108E+02             3.443507E+00             2.337442E-01             1.264911E-01             1.257619E-01             3.975633E-02             4.921439E-01             4.371877E-01             1.197665E+01             1.005738E+01             8.149441E+00             3.073242E+01
                  11.7000             1.041822E+02             3.240116E+00             4.839980E-02             2.798671E-01             1.042306E+02             3.519983E+00             2.331556E-01             1.282752E-01             1.257733E-01             3.968742E-02             4.929952E-01             4.532766E-01             1.197024E+01             1.008706E+01             8.149213E+00             3.073242E+01
                  11.8800             1.033601E+02             3.311864E+00             4.817230E-02             2.860624E-01             1.034083E+02             3.597926E+00             2.324928E-01             1.300657E-01             1.257849E-01             3.961753E-02             4.938591E-01             4.694435E-01             1.196375E+01             1.011714E+01             8.148994E+00             3.073242E+01
                  12.0600             1.024962E+02             3.384984E+00             4.792226E-02             2.923763E-01             1.025441E+02             3.677360E+00             2.316972E-01             1.318630E-01             1.257967E-01             3.954668E-02             4.947354E-01             4.856917E-01             1.195717E+01             1.014761E+01             8.148785E+00             3.073242E+01
                  12.2400             1.015908E+02             3.459389E+00             4.764983E-02             2.988010E-01             1.016385E+02             3.758190E+00             2.308264E-01             1.336673E-01             1.258085E-01             3.947486E-02             4.956241E-01             5.020238E-01             1.195051E+01             1.017845E+01             8.148587E+00             3.073242E+01
                  12.4200             1.006444E+02             3.535143E+00             4.735521E-02             3.053422E-01             1.006918E+02             3.840485E+00             2.299365E-01             1.354789E-01             1.258206E-01             3.940209E-02             4.965248E-01             5.184428E-01             1.194376E+01             1.020966E+01             8.148401E+00             3.073242E+01
                  12.6000             9.965758E+01             3.612161E+00             4.703870E-02             3.119924E-01             9.970462E+01             3.924153E+00             2.289133E-01             1.372983E-01             1.258327E-01             3.932836E-02             4.974375E-01             5.349512E-01             1.193693E+01             1.024124E+01             8.148225E+00             3.073242E+01
                  12.7800             9.863101E+01             3.690434E+00             4.670065E-02             3.187510E-01             9.867771E+01             4.009185E+00             2.277489E-01             1.391257E-01             1.258449E-01             3.925369E-02             4.983619E-01             5.515513E-01             1.193001E+01             1.027318E+01             8.148061E+00             3.073242E+01
                  12.9600             9.756552E+01             3.769978E+00             4.634144E-02             3.256192E-01             9.761186E+01             4.095597E+00             2.265736E-01             1.409613E-01             1.258573E-01             3.917807E-02             4.992978E-01             5.682456E-01             1.192301E+01             1.030546E+01             8.147910E+00             3.073242E+01
                  13.1400             9.646210E+01             3.850674E+00             4.596187E-02             3.325869E-01             9.650807E+01             4.183261E+00             2.253224E-01             1.428054E-01             1.258698E-01             3.910151E-02             5.002448E-01             5.850359E-01             1.191592E+01             1.033809E+01             8.147770E+00             3.073242E+01
                  13.3200             9.532176E+01             3.932606E+00             4.556235E-02             3.396612E-01             9.536733E+01             4.272267E+00             2.239409E-01             1.446583E-01             1.258825E-01             3.902402E-02             5.012026E-01             6.019242E-01             1.190875E+01             1.037105E+01             8.147644E+00             3.073242E+01
                  13.5000             9.414570E+01             4.015661E+00             4.514358E-02             3.468324E-01             9.419085E+01             4.362493E+00             2.224854E-01             1.465200E-01             1.258952E-01             3.894560E-02             5.021709E-01             6.189122E-01             1.190150E+01             1.040433E+01             8.147530E+00             3.073242E+01
                  13.6800             9.293514E+01             4.099940E+00             4.470621E-02             3.541093E-01             9.297985E+01             4.454049E+00             2.209568E-01             1.483909E-01             1.259081E-01             3.886625E-02             5.031494E-01             6.360013E-01             1.189417E+01             1.043792E+01             8.147430E+00             3.073242E+01
                  13.8600             9.169148E+01             4.185354E+00             4.425112E-02             3.614841E-01             9.173573E+01             4.546838E+00             2.193562E-01             1.502710E-01             1.259211E-01             3.878598E-02             5.041376E-01             6.531927E-01             1.188676E+01             1.047182E+01             8.147343E+00             3.073242E+01
                  14.0400             9.041614E+01             4.271985E+00             4.377896E-02             3.689639E-01             9.045992E+01             4.640948E+00             2.176766E-01             1.521606E-01             1.259343E-01             3.870480E-02             5.051352E-01             6.704876E-01             1.187927E+01             1.050601E+01             8.147270E+00             3.073242E+01
                  14.2200             8.911072E+01             4.359677E+00             4.329087E-02             3.765353E-01             8.915401E+01             4.736212E+00             2.158835E-01             1.540598E-01             1.259475E-01             3.862271E-02             5.061416E-01             6.878867E-01             1.187169E+01             1.054048E+01             8.147210E+00             3.073242E+01
