                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                  25.3800             3.449454E+02             3.446451E+02             3.472377E+02             3.467862E+02             3.483918E+02             3.474134E+02             3.504259E+02             3.493641E+02             3.507292E+02             3.496107E+02
                  25.5600             3.449222E+02             3.446222E+02             3.472240E+02             3.467726E+02             3.483708E+02             3.473925E+02             3.504109E+02             3.493494E+02             3.507129E+02             3.495947E+02
                  25.7400             3.448989E+02             3.445994E+02             3.472104E+02             3.467590E+02             3.483500E+02             3.473718E+02             3.503960E+02             3.493348E+02             3.506965E+02             3.495787E+02
                  25.9200             3.448758E+02             3.445767E+02             3.471967E+02             3.467455E+02             3.483293E+02             3.473511E+02             3.503810E+02             3.493202E+02             3.506802E+02             3.495627E+02
                  26.1000             3.448528E+02             3.445540E+02             3.471831E+02             3.467320E+02             3.483086E+02             3.473305E+02             3.503661E+02             3.493056E+02             3.506639E+02             3.495468E+02
                  26.2800             3.448299E+02             3.445315E+02             3.471695E+02             3.467185E+02             3.482881E+02             3.473100E+02             3.503512E+02             3.492911E+02             3.506476E+02             3.495308E+02
                  26.4600             3.448070E+02             3.445090E+02             3.471559E+02             3.467050E+02             3.482676E+02             3.472896E+02             3.503363E+02             3.492765E+02             3.506314E+02             3.495149E+02
                  26.6400             3.447843E+02             3.444866E+02             3.471424E+02             3.466915E+02             3.482472E+02             3.472693E+02             3.503214E+02             3.492620E+02             3.506151E+02             3.494990E+02
                  26.8200             3.447616E+02             3.444643E+02             3.471288E+02             3.466780E+02             3.482269E+02             3.472491E+02             3.503066E+02             3.492475E+02             3.505989E+02             3.494831E+02
                  27.0000             3.447390E+02             3.444421E+02             3.471153E+02             3.466646E+02             3.482067E+02             3.472289E+02             3.502918E+02             3.492330E+02             3.505827E+02             3.494673E+02
                  27.1800             3.447166E+02             3.444200E+02             3.471018E+02             3.466512E+02             3.481866E+02             3.472088E+02             3.502770E+02             3.492185E+02             3.505666E+02             3.494514E+02
                  27.3600             3.446942E+02             3.443979E+02             3.470884E+02             3.466378E+02             3.481666E+02             3.471889E+02             3.502622E+02             3.492041E+02             3.505504E+02             3.494356E+02
                  27.5400             3.446719E+02             3.443760E+02             3.470749E+02             3.466244E+02             3.481467E+02             3.471690E+02             3.502475E+02             3.491897E+02             3.505343E+02             3.494198E+02
