                   Degree              F_vhoc_n[N]              F_vhoc_t[N]                 F_1_n[N]                 F_2_n[N]                  F_cx[N]                  F_cy[N]           F_resultant[N]
                  22.1400            -5.215755E+01            -5.441172E+01            -4.252095E+01             5.864022E+00             4.967979E+01             2.274854E+01             5.464044E+01
                  22.3200            -5.254919E+01            -5.448740E+01            -4.287481E+01             5.850110E+00             5.002799E+01             2.280338E+01             5.497994E+01
                  22.5000            -5.293985E+01            -5.456279E+01            -4.322798E+01             5.836039E+00             5.037527E+01             2.285799E+01             5.531867E+01
                  22.6800            -5.332951E+01            -5.463789E+01            -4.358044E+01             5.821811E+00             5.072162E+01             2.291234E+01             5.565661E+01
                  22.8600            -5.371816E+01            -5.471271E+01            -4.393219E+01             5.807428E+00             5.106703E+01             2.296642E+01             5.599374E+01
                  23.0400            -5.410578E+01            -5.478721E+01            -4.428322E+01             5.792893E+00             5.141151E+01             2.302021E+01             5.633004E+01
                  23.2200            -5.449238E+01            -5.486141E+01            -4.463352E+01             5.778206E+00             5.175506E+01             2.307367E+01             5.666551E+01
                  23.4000            -5.487793E+01            -5.493530E+01            -4.498310E+01             5.763369E+00             5.209767E+01             2.312678E+01             5.700014E+01
                  23.5800            -5.526244E+01            -5.500887E+01            -4.533194E+01             5.748383E+00             5.243934E+01             2.317954E+01             5.733390E+01
                  23.7600            -5.564589E+01            -5.508212E+01            -4.568004E+01             5.733249E+00             5.278008E+01             2.323192E+01             5.766679E+01
                  23.9400            -5.602826E+01            -5.515504E+01            -4.602739E+01             5.717967E+00             5.311987E+01             2.328390E+01             5.799880E+01
                  24.1200            -5.640957E+01            -5.522763E+01            -4.637400E+01             5.702539E+00             5.345872E+01             2.333546E+01             5.832991E+01
                  24.3000            -5.678979E+01            -5.529989E+01            -4.671984E+01             5.686964E+00             5.379662E+01             2.338659E+01             5.866012E+01
                  24.4800            -5.716891E+01            -5.537182E+01            -4.706493E+01             5.671243E+00             5.413358E+01             2.343728E+01             5.898941E+01
                  24.6600            -5.754694E+01            -5.544341E+01            -4.740925E+01             5.655376E+00             5.446959E+01             2.348751E+01             5.931778E+01
                  24.8400            -5.792386E+01            -5.551466E+01            -4.775280E+01             5.639362E+00             5.480464E+01             2.353727E+01             5.964522E+01
                  25.0200            -5.829967E+01            -5.558557E+01            -4.809557E+01             5.623201E+00             5.513875E+01             2.358655E+01             5.997172E+01
                  25.2000            -5.867436E+01            -5.565614E+01            -4.843756E+01             5.606893E+00             5.547190E+01             2.363533E+01             6.029727E+01
                  25.3800            -5.904793E+01            -5.572638E+01            -4.877877E+01             5.590437E+00             5.580409E+01             2.368361E+01             6.062186E+01
                  25.5600            -5.942036E+01            -5.579627E+01            -4.911919E+01             5.573832E+00             5.613532E+01             2.373138E+01             6.094549E+01
                  25.7400            -5.979166E+01            -5.586582E+01            -4.945883E+01             5.557077E+00             5.646559E+01             2.377863E+01             6.126815E+01
                  25.9200            -6.016181E+01            -5.593504E+01            -4.979766E+01             5.540172E+00             5.679490E+01             2.382536E+01             6.158984E+01
                  26.1000            -6.053082E+01            -5.600392E+01            -5.013570E+01             5.523116E+00             5.712324E+01             2.387155E+01             6.191054E+01
                  26.2800            -6.089867E+01            -5.607246E+01            -5.047293E+01             5.505906E+00             5.745061E+01             2.391720E+01             6.223026E+01
                  26.4600            -6.126537E+01            -5.614067E+01            -5.080936E+01             5.488542E+00             5.777700E+01             2.396231E+01             6.254898E+01
                  26.6400            -6.163090E+01            -5.620855E+01            -5.114498E+01             5.471022E+00             5.810243E+01             2.400688E+01             6.286670E+01
                  26.8200            -6.199527E+01            -5.627610E+01            -5.147978E+01             5.453345E+00             5.842687E+01             2.405090E+01             6.318342E+01
                  27.0000            -6.235846E+01            -5.634332E+01            -5.181377E+01             5.435509E+00             5.875033E+01             2.409436E+01             6.349913E+01
