                   Degree                T_ecc[Nm]         T_inertia_ro[Nm]         T_inertia_vh[Nm]              T_com_C[Nm]      T_total_no_loss[Nm]               T_loss[Nm]             T_bear_s[Nm]         T_inst_total[Nm]
                  16.7400             1.217510E-01            -1.517505E-01            -4.526645E-04             2.877280E-02            -1.234303E-01             5.993219E-01             7.663660E-02             4.758916E-01
                  16.9200             1.222819E-01            -1.531004E-01            -4.566098E-04             2.906502E-02            -1.244920E-01             6.000549E-01             7.662183E-02             4.755629E-01
                  17.1000             1.228123E-01            -1.544418E-01            -4.605272E-04             2.935720E-02            -1.255451E-01             6.007918E-01             7.661288E-02             4.752467E-01
                  17.2800             1.233421E-01            -1.557745E-01            -4.644165E-04             2.964935E-02            -1.265895E-01             6.015330E-01             7.661038E-02             4.749435E-01
                  17.4600             1.238715E-01            -1.570985E-01            -4.682776E-04             2.994149E-02            -1.276252E-01             6.022793E-01             7.661485E-02             4.746540E-01
                  17.6400             1.244005E-01            -1.584136E-01            -4.721102E-04             3.023361E-02            -1.286522E-01             6.030309E-01             7.662667E-02             4.743788E-01
                  17.8200             1.249289E-01            -1.597200E-01            -4.759141E-04             3.052572E-02            -1.296702E-01             6.037882E-01             7.664609E-02             4.741180E-01
                  18.0000             1.254568E-01            -1.610174E-01            -4.796890E-04             3.081784E-02            -1.306792E-01             6.045512E-01             7.667314E-02             4.738720E-01
                  18.1800             1.259843E-01            -1.623058E-01            -4.834349E-04             3.110996E-02            -1.316793E-01             6.053198E-01             7.670769E-02             4.736405E-01
                  18.3600             1.265113E-01            -1.635852E-01            -4.871516E-04             3.140210E-02            -1.326703E-01             6.060937E-01             7.674938E-02             4.734235E-01
                  18.5400             1.270378E-01            -1.648555E-01            -4.908387E-04             3.169424E-02            -1.336521E-01             6.068724E-01             7.679767E-02             4.732203E-01
                  18.7200             1.275638E-01            -1.661165E-01            -4.944961E-04             3.198640E-02            -1.346246E-01             6.076551E-01             7.685179E-02             4.730304E-01
                  18.9000             1.280894E-01            -1.673684E-01            -4.981237E-04             3.227858E-02            -1.355879E-01             6.084409E-01             7.691080E-02             4.728530E-01
                  19.0800             1.286145E-01            -1.686109E-01            -5.017213E-04             3.257077E-02            -1.365418E-01             6.092287E-01             7.697359E-02             4.726869E-01
                  19.2600             1.291392E-01            -1.698441E-01            -5.052886E-04             3.286297E-02            -1.374864E-01             6.100174E-01             7.703889E-02             4.725310E-01
                  19.4400             1.296634E-01            -1.710678E-01            -5.088255E-04             3.315519E-02            -1.384214E-01             6.108055E-01             7.710535E-02             4.723841E-01
                  19.6200             1.301871E-01            -1.722820E-01            -5.123319E-04             3.344742E-02            -1.393469E-01             6.115917E-01             7.717154E-02             4.722447E-01
                  19.8000             1.307104E-01            -1.734867E-01            -5.158075E-04             3.373966E-02            -1.402629E-01             6.123745E-01             7.723598E-02             4.721116E-01
                  19.9800             1.312333E-01            -1.746818E-01            -5.192521E-04             3.403190E-02            -1.411692E-01             6.131525E-01             7.729724E-02             4.719833E-01
                  20.1600             1.317556E-01            -1.758673E-01            -5.226657E-04             3.432414E-02            -1.420658E-01             6.139244E-01             7.735391E-02             4.718586E-01
                  20.3400             1.322776E-01            -1.770430E-01            -5.260479E-04             3.461637E-02            -1.429527E-01             6.146888E-01             7.740470E-02             4.717362E-01
                  20.5200             1.327991E-01            -1.782089E-01            -5.293988E-04             3.490858E-02            -1.438298E-01             6.154448E-01             7.744845E-02             4.716150E-01
                  20.7000             1.333201E-01            -1.793651E-01            -5.327180E-04             3.520077E-02            -1.446970E-01             6.161911E-01             7.748417E-02             4.714941E-01
                  20.8800             1.338407E-01            -1.805113E-01            -5.360055E-04             3.549294E-02            -1.455544E-01             6.169272E-01             7.751107E-02             4.713729E-01
                  21.0600             1.343608E-01            -1.816476E-01            -5.392611E-04             3.578506E-02            -1.464018E-01             6.176525E-01             7.752856E-02             4.712507E-01
                  21.2400             1.348804E-01            -1.827739E-01            -5.424846E-04             3.607713E-02            -1.472392E-01             6.183665E-01             7.753629E-02             4.711273E-01
