                   Degree          P_inst_total[W]  P_inst_total_no_loss[W]              P_f_loss[W]            P_thr_loss[W]          P_inertia_ro[W]          P_inertia_vh[W]                 P_com[W]              P_bear_s[W]
                  28.6200             6.593309E+01            -4.415257E+01             1.100857E+02             0.000000E+00            -5.342868E+01            -1.569515E-01             9.433065E+00             1.004159E+01
                  28.8000             6.599485E+01            -4.426444E+01             1.102593E+02             0.000000E+00            -5.359121E+01            -1.573830E-01             9.484155E+00             1.004068E+01
                  28.9800             6.605888E+01            -4.437361E+01             1.104325E+02             0.000000E+00            -5.375093E+01            -1.578058E-01             9.535123E+00             1.003988E+01
                  29.1600             6.612844E+01            -4.448008E+01             1.106085E+02             0.000000E+00            -5.390783E+01            -1.582197E-01             9.585970E+00             1.004243E+01
                  29.3400             6.619696E+01            -4.458384E+01             1.107808E+02             0.000000E+00            -5.406191E+01            -1.586249E-01             9.636696E+00             1.004176E+01
                  29.5200             6.626777E+01            -4.468489E+01             1.109527E+02             0.000000E+00            -5.421317E+01            -1.590214E-01             9.687301E+00             1.004120E+01
                  29.7000             6.634087E+01            -4.478323E+01             1.111241E+02             0.000000E+00            -5.436161E+01            -1.594090E-01             9.737784E+00             1.004073E+01
                  29.8800             6.641626E+01            -4.487885E+01             1.112951E+02             0.000000E+00            -5.450721E+01            -1.597878E-01             9.788148E+00             1.004035E+01
                  30.0600             6.649685E+01            -4.497174E+01             1.114686E+02             0.000000E+00            -5.464997E+01            -1.601578E-01             9.838390E+00             1.004296E+01
                  30.2400             6.657676E+01            -4.506191E+01             1.116387E+02             0.000000E+00            -5.478990E+01            -1.605191E-01             9.888512E+00             1.004269E+01
                  30.4200             6.665897E+01            -4.514934E+01             1.118083E+02             0.000000E+00            -5.492699E+01            -1.608715E-01             9.938514E+00             1.004250E+01
                  30.6000             6.674347E+01            -4.523405E+01             1.119775E+02             0.000000E+00            -5.506123E+01            -1.612151E-01             9.988395E+00             1.004239E+01
                  30.7800             6.683028E+01            -4.531601E+01             1.121463E+02             0.000000E+00            -5.519262E+01            -1.615499E-01             1.003816E+01             1.004235E+01
                  30.9600             6.691939E+01            -4.539524E+01             1.123146E+02             0.000000E+00            -5.532116E+01            -1.618758E-01             1.008780E+01             1.004239E+01
                  31.1400             6.701081E+01            -4.547172E+01             1.124825E+02             0.000000E+00            -5.544684E+01            -1.621930E-01             1.013732E+01             1.004250E+01
                  31.3200             6.710453E+01            -4.554546E+01             1.126500E+02             0.000000E+00            -5.556967E+01            -1.625014E-01             1.018672E+01             1.004267E+01
                  31.5000             6.720056E+01            -4.561645E+01             1.128170E+02             0.000000E+00            -5.568964E+01            -1.628009E-01             1.023599E+01             1.004291E+01
                  31.6800             6.729889E+01            -4.568470E+01             1.129836E+02             0.000000E+00            -5.580676E+01            -1.630916E-01             1.028515E+01             1.004321E+01
                  31.8600             6.739953E+01            -4.575019E+01             1.131497E+02             0.000000E+00            -5.592100E+01            -1.633735E-01             1.033419E+01             1.004357E+01
                  32.0400             6.750020E+01            -4.581293E+01             1.133131E+02             0.000000E+00            -5.603239E+01            -1.636466E-01             1.038310E+01             1.004171E+01
                  32.2200             6.760552E+01            -4.587292E+01             1.134784E+02             0.000000E+00            -5.614091E+01            -1.639109E-01             1.043189E+01             1.004223E+01
                  32.4000             6.771314E+01            -4.593016E+01             1.136433E+02             0.000000E+00            -5.624656E+01            -1.641664E-01             1.048057E+01             1.004280E+01
                  32.5800             6.782307E+01            -4.598464E+01             1.138077E+02             0.000000E+00            -5.634934E+01            -1.644131E-01             1.052912E+01             1.004342E+01
