                   Degree             gamma_1[rad]        dgammadt_1[rad/s]      dgammadtt_1[rad/s2]
                  70.3800            -9.468248E-02            -3.131596E+00             1.652751E+03
                  70.5600            -9.475930E-02            -3.090789E+00             1.652571E+03
                  70.7400            -9.483511E-02            -3.049987E+00             1.652371E+03
                  70.9200            -9.490992E-02            -3.009190E+00             1.652153E+03
                  71.1000            -9.498371E-02            -2.968399E+00             1.651915E+03
                  71.2800            -9.505650E-02            -2.927614E+00             1.651658E+03
                  71.4600            -9.512829E-02            -2.886836E+00             1.651382E+03
                  71.6400            -9.519906E-02            -2.846064E+00             1.651087E+03
                  71.8200            -9.526883E-02            -2.805300E+00             1.650773E+03
                  72.0000            -9.533760E-02            -2.764544E+00             1.650440E+03
                  72.1800            -9.540535E-02            -2.723797E+00             1.650088E+03
                  72.3600            -9.547211E-02            -2.683058E+00             1.649718E+03
                  72.5400            -9.553785E-02            -2.642329E+00             1.649329E+03
                  72.7200            -9.560259E-02            -2.601610E+00             1.648922E+03
                  72.9000            -9.566633E-02            -2.560900E+00             1.648496E+03
                  73.0800            -9.572906E-02            -2.520202E+00             1.648052E+03
                  73.2600            -9.579078E-02            -2.479515E+00             1.647589E+03
                  73.4400            -9.585150E-02            -2.438839E+00             1.647108E+03
                  73.6200            -9.591122E-02            -2.398176E+00             1.646609E+03
                  73.8000            -9.596993E-02            -2.357525E+00             1.646092E+03
                  73.9800            -9.602764E-02            -2.316887E+00             1.645557E+03
                  74.1600            -9.608434E-02            -2.276262E+00             1.645004E+03
                  74.3400            -9.614005E-02            -2.235651E+00             1.644432E+03
                  74.5200            -9.619475E-02            -2.195055E+00             1.643843E+03
                  74.7000            -9.624844E-02            -2.154473E+00             1.643237E+03
                  74.8800            -9.630114E-02            -2.113907E+00             1.642612E+03
