                   Degree           I_press_scv[W]           I_press_dcv[W]          I_tempmx_scv[W]          I_tempmx_dcv[W]             I_thr_scv[W]             I_thr_dcv[W]            I_thr_leak[W]              I_ht_scv[W]              I_ht_dcv[W]               I_ef_vh[W]                I_s_vh[W]                I_f_vs[W]               I_ef_ro[W]                 I_lub[W]              I_bear_s[W]            I_lip_seal[W]
                  13.3200             7.851619E+01             5.880338E+00             2.716064E+00             8.645035E-01             7.580013E+01             6.744842E+00             0.000000E+00             1.897102E-02             6.724333E-01             4.148755E-02             6.202390E-01             1.284510E+00             1.266990E+01             1.305144E+01             1.059353E+01             2.435292E+01
                  13.5000             7.762766E+01             5.955712E+00             2.665690E+00             8.754921E-01             7.496197E+01             6.831204E+00             0.000000E+00             1.944020E-02             6.720401E-01             4.140418E-02             6.206016E-01             1.303417E+00             1.266219E+01             1.307846E+01             1.059258E+01             2.435292E+01
                  13.6800             7.671172E+01             6.031794E+00             2.614146E+00             8.865823E-01             7.409758E+01             6.918376E+00             0.000000E+00             1.992532E-02             6.716496E-01             4.131982E-02             6.209498E-01             1.322188E+00             1.265439E+01             1.310520E+01             1.059209E+01             2.435292E+01
                  13.8600             7.576925E+01             6.108582E+00             2.561519E+00             8.977741E-01             7.320774E+01             7.006356E+00             0.000000E+00             2.042675E-02             6.712620E-01             4.123449E-02             6.212835E-01             1.340822E+00             1.264650E+01             1.313166E+01             1.059204E+01             2.435292E+01
                  14.0400             7.480118E+01             6.186075E+00             2.507903E+00             9.090671E-01             7.229328E+01             7.095142E+00             0.000000E+00             2.094481E-02             6.708771E-01             4.114818E-02             6.216029E-01             1.359320E+00             1.263853E+01             1.315785E+01             1.059244E+01             2.435292E+01
                  14.2200             7.380850E+01             6.264272E+00             2.453395E+00             9.204612E-01             7.135511E+01             7.184733E+00             0.000000E+00             2.147986E-02             6.704949E-01             4.106091E-02             6.219081E-01             1.377681E+00             1.263047E+01             1.318376E+01             1.059330E+01             2.435292E+01
                  14.4000             7.279228E+01             6.343171E+00             2.398092E+00             9.319560E-01             7.039419E+01             7.275127E+00             0.000000E+00             2.203217E-02             6.701154E-01             4.097267E-02             6.221991E-01             1.395904E+00             1.262233E+01             1.320940E+01             1.059464E+01             2.435292E+01
                  14.5800             7.175364E+01             6.422772E+00             2.342097E+00             9.435515E-01             6.941154E+01             7.366323E+00             0.000000E+00             2.260205E-02             6.697387E-01             4.088348E-02             6.224760E-01             1.413991E+00             1.261411E+01             1.323477E+01             1.059648E+01             2.435292E+01
                  14.7600             7.069376E+01             6.503072E+00             2.285512E+00             9.552473E-01             6.840825E+01             7.458319E+00             0.000000E+00             2.318973E-02             6.693646E-01             4.079333E-02             6.227391E-01             1.431940E+00             1.260580E+01             1.325986E+01             1.059886E+01             2.435292E+01
                  14.9400             6.961387E+01             6.584070E+00             2.228441E+00             9.670432E-01             6.738543E+01             7.551114E+00             0.000000E+00             2.379545E-02             6.689931E-01             4.070224E-02             6.229885E-01             1.449754E+00             1.259741E+01             1.328469E+01             1.060177E+01             2.435292E+01
                  15.1200             6.851525E+01             6.665766E+00             2.170988E+00             9.789391E-01             6.634426E+01             7.644705E+00             0.000000E+00             2.441941E-02             6.686243E-01             4.061021E-02             6.232244E-01             1.467432E+00             1.258894E+01             1.330926E+01             1.060524E+01             2.435292E+01
                  15.3000             6.739922E+01             6.748157E+00             2.113259E+00             9.909346E-01             6.528596E+01             7.739092E+00             0.000000E+00             2.506178E-02             6.682581E-01             4.051725E-02             6.234470E-01             1.484976E+00             1.258039E+01             1.333358E+01             1.060923E+01             2.435292E+01
                  15.4800             6.626713E+01             6.831243E+00             2.055358E+00             1.003030E+00             6.421177E+01             7.834273E+00             0.000000E+00             2.572271E-02             6.678944E-01             4.042336E-02             6.236565E-01             1.502387E+00             1.257176E+01             1.335765E+01             1.061370E+01             2.435292E+01
