                   Degree                   P1[Pa]                   P2[Pa]                   P3[Pa]                   P4[Pa]                   P5[Pa]                   P6[Pa]                   P7[Pa]                   P8[Pa]                   P9[Pa]                  P3a[Pa]
                  23.7600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.670976E+05             1.660520E+05             4.927956E+05
                  23.9400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671004E+05             1.660548E+05             4.928009E+05
                  24.1200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671031E+05             1.660575E+05             4.928061E+05
                  24.3000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671055E+05             1.660599E+05             4.928114E+05
                  24.4800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671077E+05             1.660621E+05             4.928167E+05
                  24.6600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671098E+05             1.660642E+05             4.928220E+05
                  24.8400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671118E+05             1.660661E+05             4.928272E+05
                  25.0200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671136E+05             1.660680E+05             4.928325E+05
                  25.2000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671155E+05             1.660699E+05             4.928377E+05
                  25.3800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671173E+05             1.660716E+05             4.928428E+05
                  25.5600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671190E+05             1.660734E+05             4.928480E+05
                  25.7400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671207E+05             1.660751E+05             4.928530E+05
                  25.9200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671224E+05             1.660768E+05             4.928581E+05
                  26.1000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671241E+05             1.660785E+05             4.928630E+05
                  26.2800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671259E+05             1.660803E+05             4.928679E+05
                  26.4600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671277E+05             1.660821E+05             4.928727E+05
                  26.6400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671297E+05             1.660841E+05             4.928775E+05
                  26.8200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671318E+05             1.660861E+05             4.928821E+05
                  27.0000             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671340E+05             1.660884E+05             4.928867E+05
                  27.1800             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671364E+05             1.660908E+05             4.928911E+05
                  27.3600             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671390E+05             1.660934E+05             4.928955E+05
                  27.5400             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671416E+05             1.660960E+05             4.928997E+05
                  27.7200             3.411493E+05             3.416548E+05             3.416538E+05             3.408409E+05             3.418920E+05             3.421007E+05             3.418863E+05             1.671443E+05             1.660987E+05             4.929039E+05
