                   Degree          h_min[micron-m]               p_max[MPa]           Q_martin[cc/s]                    Eccen        Att.Angle[degree]
                  46.2600             1.824988E+01             2.564585E-01             4.803064E-01             5.000033E-01             5.000867E-01
                  46.4400             1.824988E+01             2.570288E-01             4.806069E-01             5.000033E-01             5.000864E-01
                  46.6200             1.824988E+01             2.575955E-01             4.809057E-01             5.000033E-01             5.000862E-01
                  46.8000             1.824988E+01             2.581585E-01             4.812026E-01             5.000033E-01             5.000860E-01
                  46.9800             1.824988E+01             2.587180E-01             4.814977E-01             5.000033E-01             5.000857E-01
                  47.1600             1.824988E+01             2.592738E-01             4.817910E-01             5.000033E-01             5.000855E-01
                  47.3400             1.824988E+01             2.598261E-01             4.820825E-01             5.000033E-01             5.000853E-01
                  47.5200             1.824988E+01             2.603747E-01             4.823722E-01             5.000033E-01             5.000850E-01
                  47.7000             1.824988E+01             2.609197E-01             4.826600E-01             5.000033E-01             5.000848E-01
                  47.8800             1.824988E+01             2.614611E-01             4.829460E-01             5.000033E-01             5.000846E-01
                  48.0600             1.824988E+01             2.619988E-01             4.832302E-01             5.000033E-01             5.000844E-01
                  48.2400             1.824988E+01             2.625330E-01             4.835126E-01             5.000033E-01             5.000842E-01
                  48.4200             1.824988E+01             2.630635E-01             4.837931E-01             5.000033E-01             5.000839E-01
                  48.6000             1.824988E+01             2.635904E-01             4.840718E-01             5.000034E-01             5.000837E-01
                  48.7800             1.824988E+01             2.641137E-01             4.843487E-01             5.000034E-01             5.000835E-01
                  48.9600             1.824988E+01             2.646334E-01             4.846237E-01             5.000034E-01             5.000833E-01
                  49.1400             1.824988E+01             2.651494E-01             4.848968E-01             5.000034E-01             5.000831E-01
                  49.3200             1.824988E+01             2.656619E-01             4.851682E-01             5.000034E-01             5.000829E-01
                  49.5000             1.824988E+01             2.661707E-01             4.854377E-01             5.000034E-01             5.000827E-01
                  49.6800             1.824988E+01             2.666758E-01             4.857053E-01             5.000034E-01             5.000825E-01
                  49.8600             1.824988E+01             2.671774E-01             4.859711E-01             5.000034E-01             5.000823E-01
                  50.0400             1.824988E+01             2.676754E-01             4.862350E-01             5.000034E-01             5.000820E-01
                  50.2200             1.824988E+01             2.681697E-01             4.864971E-01             5.000034E-01             5.000818E-01
                  50.4000             1.824988E+01             2.686604E-01             4.867574E-01             5.000034E-01             5.000816E-01
                  50.5800             1.824988E+01             2.691475E-01             4.870157E-01             5.000034E-01             5.000814E-01
                  50.7600             1.824987E+01             2.696309E-01             4.872723E-01             5.000034E-01             5.000812E-01
                  50.9400             1.824987E+01             2.701108E-01             4.875269E-01             5.000034E-01             5.000810E-01
                  51.1200             1.824987E+01             2.705870E-01             4.877798E-01             5.000034E-01             5.000808E-01
                  51.3000             1.824987E+01             2.710596E-01             4.880307E-01             5.000034E-01             5.000806E-01
                  51.4800             1.824987E+01             2.715287E-01             4.882798E-01             5.000035E-01             5.000804E-01
