                   Degree               T_ocsc2[K]               T_ocsc3[K]               T_ocdc2[K]               T_ocdc3[K]               T_rosc2[K]               T_rosc3[K]               T_rodc2[K]               T_rodc3[K]             T_roller2[K]             T_roller3[K]
                  18.3600             3.269493E+02             3.270092E+02             3.272252E+02             3.272476E+02             3.303492E+02             3.297263E+02             3.307032E+02             3.300395E+02             3.318787E+02             3.310713E+02
                  18.5400             3.269394E+02             3.269994E+02             3.272181E+02             3.272406E+02             3.303392E+02             3.297164E+02             3.306958E+02             3.300321E+02             3.318710E+02             3.310637E+02
                  18.7200             3.269293E+02             3.269896E+02             3.272110E+02             3.272335E+02             3.303291E+02             3.297066E+02             3.306883E+02             3.300248E+02             3.318633E+02             3.310561E+02
                  18.9000             3.269192E+02             3.269797E+02             3.272038E+02             3.272263E+02             3.303189E+02             3.296966E+02             3.306808E+02             3.300174E+02             3.318555E+02             3.310485E+02
                  19.0800             3.269090E+02             3.269697E+02             3.271966E+02             3.272191E+02             3.303086E+02             3.296866E+02             3.306732E+02             3.300099E+02             3.318477E+02             3.310407E+02
                  19.2600             3.268988E+02             3.269597E+02             3.271893E+02             3.272119E+02             3.302984E+02             3.296766E+02             3.306656E+02             3.300024E+02             3.318398E+02             3.310330E+02
                  19.4400             3.268885E+02             3.269496E+02             3.271820E+02             3.272046E+02             3.302881E+02             3.296665E+02             3.306580E+02             3.299948E+02             3.318318E+02             3.310252E+02
                  19.6200             3.268782E+02             3.269395E+02             3.271746E+02             3.271973E+02             3.302777E+02             3.296563E+02             3.306503E+02             3.299872E+02             3.318239E+02             3.310173E+02
                  19.8000             3.268679E+02             3.269294E+02             3.271673E+02             3.271899E+02             3.302673E+02             3.296462E+02             3.306425E+02             3.299796E+02             3.318159E+02             3.310094E+02
                  19.9800             3.268575E+02             3.269192E+02             3.271599E+02             3.271826E+02             3.302569E+02             3.296360E+02             3.306348E+02             3.299720E+02             3.318078E+02             3.310015E+02
                  20.1600             3.268471E+02             3.269091E+02             3.271524E+02             3.271752E+02             3.302465E+02             3.296258E+02             3.306270E+02             3.299643E+02             3.317998E+02             3.309936E+02
                  20.3400             3.268367E+02             3.268989E+02             3.271450E+02             3.271678E+02             3.302361E+02             3.296157E+02             3.306192E+02             3.299566E+02             3.317917E+02             3.309856E+02
                  20.5200             3.268263E+02             3.268887E+02             3.271376E+02             3.271604E+02             3.302257E+02             3.296055E+02             3.306114E+02             3.299489E+02             3.317836E+02             3.309776E+02
                  20.7000             3.268159E+02             3.268785E+02             3.271301E+02             3.271529E+02             3.302153E+02             3.295953E+02             3.306035E+02             3.299412E+02             3.317754E+02             3.309696E+02
                  20.8800             3.268056E+02             3.268683E+02             3.271226E+02             3.271455E+02             3.302049E+02             3.295851E+02             3.305957E+02             3.299335E+02             3.317673E+02             3.309617E+02
                  21.0600             3.267952E+02             3.268582E+02             3.271152E+02             3.271381E+02             3.301945E+02             3.295749E+02             3.305878E+02             3.299257E+02             3.317592E+02             3.309537E+02
                  21.2400             3.267848E+02             3.268480E+02             3.271077E+02             3.271306E+02             3.301842E+02             3.295648E+02             3.305800E+02             3.299180E+02             3.317510E+02             3.309456E+02
                  21.4200             3.267745E+02             3.268379E+02             3.271003E+02             3.271232E+02             3.301739E+02             3.295547E+02             3.305721E+02             3.299103E+02             3.317429E+02             3.309376E+02
                  21.6000             3.267642E+02             3.268278E+02             3.270928E+02             3.271158E+02             3.301636E+02             3.295446E+02             3.305643E+02             3.299025E+02             3.317348E+02             3.309297E+02
                  21.7800             3.267539E+02             3.268177E+02             3.270854E+02             3.271084E+02             3.301533E+02             3.295346E+02             3.305564E+02             3.298948E+02             3.317266E+02             3.309217E+02
                  21.9600             3.267437E+02             3.268077E+02             3.270779E+02             3.271010E+02             3.301431E+02             3.295246E+02             3.305486E+02             3.298871E+02             3.317185E+02             3.309137E+02
                  22.1400             3.267336E+02             3.267978E+02             3.270705E+02             3.270937E+02             3.301330E+02             3.295147E+02             3.305408E+02             3.298794E+02             3.317104E+02             3.309057E+02
                  22.3200             3.267234E+02             3.267878E+02             3.270631E+02             3.270863E+02             3.301228E+02             3.295048E+02             3.305330E+02             3.298718E+02             3.317023E+02             3.308978E+02
                  22.5000             3.267134E+02             3.267780E+02             3.270558E+02             3.270790E+02             3.301128E+02             3.294949E+02             3.305252E+02             3.298641E+02             3.316943E+02             3.308899E+02
                  22.6800             3.267034E+02             3.267682E+02             3.270484E+02             3.270717E+02             3.301028E+02             3.294851E+02             3.305175E+02             3.298565E+02             3.316862E+02             3.308820E+02
                  22.8600             3.266935E+02             3.267584E+02             3.270411E+02             3.270644E+02             3.300929E+02             3.294754E+02             3.305097E+02             3.298489E+02             3.316782E+02             3.308741E+02
                  23.0400             3.266836E+02             3.267488E+02             3.270338E+02             3.270572E+02             3.300831E+02             3.294658E+02             3.305020E+02             3.298413E+02             3.316702E+02             3.308663E+02
                  23.2200             3.266738E+02             3.267392E+02             3.270266E+02             3.270500E+02             3.300733E+02             3.294562E+02             3.304943E+02             3.298338E+02             3.316622E+02             3.308585E+02
                  23.4000             3.266641E+02             3.267297E+02             3.270193E+02             3.270428E+02             3.300636E+02             3.294467E+02             3.304867E+02             3.298263E+02             3.316543E+02             3.308507E+02
                  23.5800             3.266545E+02             3.267202E+02             3.270122E+02             3.270357E+02             3.300540E+02             3.294373E+02             3.304791E+02             3.298188E+02             3.316464E+02             3.308430E+02
                  23.7600             3.266449E+02             3.267109E+02             3.270050E+02             3.270286E+02             3.300444E+02             3.294280E+02             3.304715E+02             3.298113E+02             3.316386E+02             3.308353E+02
                  23.9400             3.266355E+02             3.267016E+02             3.269979E+02             3.270215E+02             3.300350E+02             3.294187E+02             3.304639E+02             3.298039E+02             3.316308E+02             3.308276E+02
                  24.1200             3.266261E+02             3.266924E+02             3.269908E+02             3.270145E+02             3.300256E+02             3.294095E+02             3.304564E+02             3.297966E+02             3.316230E+02             3.308200E+02
                  24.3000             3.266169E+02             3.266833E+02             3.269838E+02             3.270076E+02             3.300164E+02             3.294004E+02             3.304490E+02             3.297893E+02             3.316153E+02             3.308124E+02
                  24.4800             3.266077E+02             3.266743E+02             3.269768E+02             3.270006E+02             3.300072E+02             3.293915E+02             3.304416E+02             3.297820E+02             3.316076E+02             3.308049E+02
                  24.6600             3.265986E+02             3.266654E+02             3.269699E+02             3.269938E+02             3.299981E+02             3.293826E+02             3.304342E+02             3.297748E+02             3.315999E+02             3.307974E+02
                  24.8400             3.265896E+02             3.266566E+02             3.269630E+02             3.269869E+02             3.299891E+02             3.293738E+02             3.304269E+02             3.297676E+02             3.315924E+02             3.307900E+02
                  25.0200             3.265808E+02             3.266479E+02             3.269562E+02             3.269802E+02             3.299802E+02             3.293651E+02             3.304196E+02             3.297605E+02             3.315848E+02             3.307826E+02
                  25.2000             3.265720E+02             3.266393E+02             3.269494E+02             3.269734E+02             3.299714E+02             3.293565E+02             3.304124E+02             3.297534E+02             3.315773E+02             3.307753E+02
                  25.3800             3.265634E+02             3.266307E+02             3.269427E+02             3.269668E+02             3.299628E+02             3.293480E+02             3.304052E+02             3.297464E+02             3.315699E+02             3.307680E+02
                  25.5600             3.265548E+02             3.266223E+02             3.269360E+02             3.269601E+02             3.299542E+02             3.293396E+02             3.303981E+02             3.297394E+02             3.315625E+02             3.307608E+02
                  25.7400             3.265464E+02             3.266141E+02             3.269294E+02             3.269536E+02             3.299457E+02             3.293313E+02             3.303910E+02             3.297325E+02             3.315552E+02             3.307537E+02
                  25.9200             3.265380E+02             3.266059E+02             3.269228E+02             3.269471E+02             3.299374E+02             3.293231E+02             3.303840E+02             3.297256E+02             3.315479E+02             3.307466E+02
                  26.1000             3.265298E+02             3.265978E+02             3.269163E+02             3.269406E+02             3.299291E+02             3.293150E+02             3.303770E+02             3.297188E+02             3.315407E+02             3.307395E+02
                  26.2800             3.265217E+02             3.265898E+02             3.269098E+02             3.269342E+02             3.299210E+02             3.293070E+02             3.303701E+02             3.297121E+02             3.315336E+02             3.307325E+02
                  26.4600             3.265137E+02             3.265820E+02             3.269034E+02             3.269279E+02             3.299129E+02             3.292991E+02             3.303632E+02             3.297054E+02             3.315265E+02             3.307256E+02
                  26.6400             3.265058E+02             3.265742E+02             3.268971E+02             3.269216E+02             3.299050E+02             3.292914E+02             3.303564E+02             3.296987E+02             3.315194E+02             3.307187E+02
                  26.8200             3.264981E+02             3.265666E+02             3.268908E+02             3.269153E+02             3.298972E+02             3.292837E+02             3.303497E+02             3.296921E+02             3.315125E+02             3.307119E+02
                  27.0000             3.264904E+02             3.265591E+02             3.268845E+02             3.269092E+02             3.298895E+02             3.292762E+02             3.303430E+02             3.296856E+02             3.315056E+02             3.307052E+02
                  27.1800             3.264829E+02             3.265517E+02             3.268783E+02             3.269031E+02             3.298819E+02             3.292687E+02             3.303364E+02             3.296791E+02             3.314987E+02             3.306985E+02
                  27.3600             3.264755E+02             3.265444E+02             3.268722E+02             3.268970E+02             3.298744E+02             3.292614E+02             3.303298E+02             3.296727E+02             3.314919E+02             3.306919E+02
                  27.5400             3.264682E+02             3.265372E+02             3.268662E+02             3.268910E+02             3.298670E+02             3.292542E+02             3.303233E+02             3.296664E+02             3.314852E+02             3.306853E+02
