                   Degree                 Q1[m3/s]                 Q2[m3/s]                Q3c[m3/s]                Q3s[m3/s]                 Q4[m3/s]                Q5a[m3/s]                Q5b[m3/s]                Q6c[m3/s]                Q6s[m3/s]                 Q7[m3/s]                 Q8[m3/s]                Q9a[m3/s]                Q9b[m3/s]
                  17.4600             1.619892E-06             2.865487E-07             1.536129E-06             8.375233E-08             1.775506E-08             1.058327E-07             1.456921E-06             1.038333E-11             3.930791E-13             1.333344E-06            -1.464307E-07            -3.211423E-07             8.657707E-07
                  17.6400             1.619888E-06             2.865446E-07             1.535216E-06             8.466099E-08             1.775487E-08             1.058335E-07             1.456921E-06             1.037558E-11             3.999651E-13             1.333343E-06            -1.464287E-07            -3.211437E-07             8.657707E-07
                  17.8200             1.619883E-06             2.865408E-07             1.534302E-06             8.557085E-08             1.775467E-08             1.058341E-07             1.456921E-06             1.036784E-11             4.069307E-13             1.333343E-06            -1.464269E-07            -3.211451E-07             8.657707E-07
                  18.0000             1.619880E-06             2.865373E-07             1.533387E-06             8.648188E-08             1.775448E-08             1.058347E-07             1.456921E-06             1.036012E-11             4.139746E-13             1.333342E-06            -1.464251E-07            -3.211465E-07             8.657707E-07
                  18.1800             1.619876E-06             2.865341E-07             1.532471E-06             8.739404E-08             1.775428E-08             1.058351E-07             1.456921E-06             1.035242E-11             4.210952E-13             1.333342E-06            -1.464235E-07            -3.211478E-07             8.657707E-07
                  18.3600             1.619873E-06             2.865312E-07             1.531555E-06             8.830730E-08             1.775409E-08             1.058355E-07             1.456921E-06             1.034476E-11             4.282909E-13             1.333342E-06            -1.464220E-07            -3.211492E-07             8.657707E-07
                  18.5400             1.619870E-06             2.865287E-07             1.530638E-06             8.922161E-08             1.775389E-08             1.058357E-07             1.456921E-06             1.033714E-11             4.355601E-13             1.333342E-06            -1.464206E-07            -3.211505E-07             8.657707E-07
                  18.7200             1.619868E-06             2.865266E-07             1.529721E-06             9.013695E-08             1.775370E-08             1.058359E-07             1.456921E-06             1.032958E-11             4.429013E-13             1.333342E-06            -1.464195E-07            -3.211517E-07             8.657707E-07
                  18.9000             1.619867E-06             2.865250E-07             1.528803E-06             9.105327E-08             1.775352E-08             1.058359E-07             1.456921E-06             1.032209E-11             4.503125E-13             1.333342E-06            -1.464185E-07            -3.211529E-07             8.657707E-07
                  19.0800             1.619866E-06             2.865238E-07             1.527885E-06             9.197054E-08             1.775334E-08             1.058357E-07             1.456921E-06             1.031467E-11             4.577919E-13             1.333342E-06            -1.464177E-07            -3.211540E-07             8.657707E-07
                  19.2600             1.619866E-06             2.865232E-07             1.526966E-06             9.288871E-08             1.775316E-08             1.058354E-07             1.456921E-06             1.030734E-11             4.653377E-13             1.333343E-06            -1.464171E-07            -3.211550E-07             8.657707E-07
                  19.4400             1.619866E-06             2.865230E-07             1.526048E-06             9.380773E-08             1.775300E-08             1.058350E-07             1.456921E-06             1.030009E-11             4.729479E-13             1.333343E-06            -1.464167E-07            -3.211560E-07             8.657707E-07
                  19.6200             1.619868E-06             2.865234E-07             1.525129E-06             9.472758E-08             1.775284E-08             1.058344E-07             1.456921E-06             1.029295E-11             4.806205E-13             1.333344E-06            -1.464166E-07            -3.211568E-07             8.657707E-07
                  19.8000             1.619869E-06             2.865244E-07             1.524210E-06             9.564819E-08             1.775269E-08             1.058337E-07             1.456921E-06             1.028592E-11             4.883532E-13             1.333345E-06            -1.464167E-07            -3.211576E-07             8.657707E-07
                  19.9800             1.619872E-06             2.865260E-07             1.523292E-06             9.656954E-08             1.775255E-08             1.058328E-07             1.456921E-06             1.027900E-11             4.961440E-13             1.333346E-06            -1.464171E-07            -3.211583E-07             8.657707E-07
                  20.1600             1.619875E-06             2.865282E-07             1.522373E-06             9.749158E-08             1.775242E-08             1.058318E-07             1.456921E-06             1.027219E-11             5.039904E-13             1.333347E-06            -1.464177E-07            -3.211588E-07             8.657707E-07
                  20.3400             1.619879E-06             2.865309E-07             1.521454E-06             9.841425E-08             1.775230E-08             1.058306E-07             1.456921E-06             1.026551E-11             5.118902E-13             1.333349E-06            -1.464186E-07            -3.211593E-07             8.657707E-07
                  20.5200             1.619884E-06             2.865343E-07             1.520536E-06             9.933752E-08             1.775219E-08             1.058292E-07             1.456921E-06             1.025894E-11             5.198409E-13             1.333350E-06            -1.464197E-07            -3.211596E-07             8.657707E-07
